artist,album,track_name,track_id,popularity,speechiness,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Grant Macdonald,Ram Ranch 33,Ram Ranch 33,3Ceg70QxOlC1S6yz5EWMD8,0,0.0684,0.266,0.939,5,-2.539,1,0.0684,0.021,0.0,0.418,0.478,87.858,audio_features,3Ceg70QxOlC1S6yz5EWMD8,spotify:track:3Ceg70QxOlC1S6yz5EWMD8,https://api.spotify.com/v1/tracks/3Ceg70QxOlC1S6yz5EWMD8,https://api.spotify.com/v1/audio-analysis/3Ceg70QxOlC1S6yz5EWMD8,384277,4
Grant Macdonald,Ram Ranch 34,Ram Ranch 34,6uCVOyRtaLLnSlJxmCNLWG,2,0.211,0.281,0.957,0,-1.748,1,0.211,0.507,0.0,0.275,0.471,139.035,audio_features,6uCVOyRtaLLnSlJxmCNLWG,spotify:track:6uCVOyRtaLLnSlJxmCNLWG,https://api.spotify.com/v1/tracks/6uCVOyRtaLLnSlJxmCNLWG,https://api.spotify.com/v1/audio-analysis/6uCVOyRtaLLnSlJxmCNLWG,538790,4
Grant Macdonald,Ram Ranch 35,Ram Ranch 35,071nVx0NcDJLjf69xdJjEb,1,0.283,0.348,0.357,1,-2.875,1,0.283,0.187,0.0,0.262,0.972,72.775,audio_features,071nVx0NcDJLjf69xdJjEb,spotify:track:071nVx0NcDJLjf69xdJjEb,https://api.spotify.com/v1/tracks/071nVx0NcDJLjf69xdJjEb,https://api.spotify.com/v1/audio-analysis/071nVx0NcDJLjf69xdJjEb,648205,1
Grant Macdonald,Ram Ranch 36,Ram Ranch 36,7pGA97RHvY2RqgzyQqrczV,0,0.0726,0.219,0.942,4,-2.268,0,0.0726,0.023,0.0,0.725,0.429,127.939,audio_features,7pGA97RHvY2RqgzyQqrczV,spotify:track:7pGA97RHvY2RqgzyQqrczV,https://api.spotify.com/v1/tracks/7pGA97RHvY2RqgzyQqrczV,https://api.spotify.com/v1/audio-analysis/7pGA97RHvY2RqgzyQqrczV,893257,4
Grant Macdonald,Ram Ranch 37,Ram Ranch 37,5aXMpre3OPvDVw04GBcQIR,0,0.207,0.267,0.948,7,-2.325,1,0.207,0.0108,1.11e-05,0.376,0.414,98.964,audio_features,5aXMpre3OPvDVw04GBcQIR,spotify:track:5aXMpre3OPvDVw04GBcQIR,https://api.spotify.com/v1/tracks/5aXMpre3OPvDVw04GBcQIR,https://api.spotify.com/v1/audio-analysis/5aXMpre3OPvDVw04GBcQIR,320843,4
Grant Macdonald,Ram Ranch 38,Ram Ranch 38,77KEjyObyNc7Il9IS796P8,0,0.278,0.298,0.926,11,-3.892,0,0.278,0.0838,0.0,0.83,0.558,97.66,audio_features,77KEjyObyNc7Il9IS796P8,spotify:track:77KEjyObyNc7Il9IS796P8,https://api.spotify.com/v1/tracks/77KEjyObyNc7Il9IS796P8,https://api.spotify.com/v1/audio-analysis/77KEjyObyNc7Il9IS796P8,436609,4
Grant Macdonald,Ram Ranch 39,Ram Ranch 39,4ijaCxE9F3GldwbDdvPWkp,0,0.215,0.297,0.898,2,-2.191,0,0.215,0.727,1.16e-06,0.442,0.766,72.066,audio_features,4ijaCxE9F3GldwbDdvPWkp,spotify:track:4ijaCxE9F3GldwbDdvPWkp,https://api.spotify.com/v1/tracks/4ijaCxE9F3GldwbDdvPWkp,https://api.spotify.com/v1/audio-analysis/4ijaCxE9F3GldwbDdvPWkp,369783,4
Grant Macdonald,Ram Ranch 40,Ram Ranch 40,1RTcoBQHahN6vIY4bJN9I7,0,0.193,0.236,0.935,0,-3.443,1,0.193,0.713,0.0,0.535,0.48,99.37,audio_features,1RTcoBQHahN6vIY4bJN9I7,spotify:track:1RTcoBQHahN6vIY4bJN9I7,https://api.spotify.com/v1/tracks/1RTcoBQHahN6vIY4bJN9I7,https://api.spotify.com/v1/audio-analysis/1RTcoBQHahN6vIY4bJN9I7,507060,4
Grant Macdonald,Ram Ranch 41,Ram Ranch 41,6Kk42x3jzde5KYv4tys5du,0,0.129,0.25,0.954,4,-2.538,0,0.129,0.0546,0.000379,0.557,0.233,122.329,audio_features,6Kk42x3jzde5KYv4tys5du,spotify:track:6Kk42x3jzde5KYv4tys5du,https://api.spotify.com/v1/tracks/6Kk42x3jzde5KYv4tys5du,https://api.spotify.com/v1/audio-analysis/6Kk42x3jzde5KYv4tys5du,606206,3
Grant Macdonald,Ram Ranch 42,Ram Ranch 42,1PQdXTsksMcbULMKvmKfPT,0,0.319,0.364,0.926,7,-2.734,1,0.319,0.205,0.0,0.802,0.425,124.756,audio_features,1PQdXTsksMcbULMKvmKfPT,spotify:track:1PQdXTsksMcbULMKvmKfPT,https://api.spotify.com/v1/tracks/1PQdXTsksMcbULMKvmKfPT,https://api.spotify.com/v1/audio-analysis/1PQdXTsksMcbULMKvmKfPT,636840,3
